STYLE NO.,COLOR,SIZE,BOX NUMBER,BRAND NAME,QUANTITY
1116,BANANA,5XL,36.0,,2.0
1116,BANANA,5XL,289.0,,11.0
1116,BANANA,6XL,25.0,,2.0
1116,BANANA,6XL,36.0,,4.0
1116,BANANA,6XL,289.0,,17.0
1116,BANANA,6XL,561.0,,1.0
1116,BANANA,7XL,25.0,,3.0
1116,BANANA,7XL,43.0,,1.0
1116,BANANA,7XL,289.0,,1.0
1116,BANANA,8XL,25.0,,7.0
1116,BANANA,8XL,43.0,,1.0
1116,BANANA,8XL,56.0,,2.0
1116,BANANA (FLOWER),6XL,25.0,,6.0
1116,BURGUNDY,3XL,87.0,,1.0
1116,BURGUNDY,7XL,87.0,,7.0
1116,BURGUNDY,7XL,326.0,,2.0
1116,BURGUNDY,8XL,326.0,,2.0
1116,CHAMPAGNE,8XL,287.0,,1.0
1116,CORAL,5XL,36.0,,2.0
1116,CORAL,6XL,4.0,,3.0
1116,CORAL,6XL,36.0,,6.0
1116,CORAL,7XL,4.0,,5.0
1116,CORAL,7XL,36.0,,10.0
1116,CORAL,7XL,289.0,,3.0
1116,CORAL,8XL,4.0,,7.0
1116,CORAL,8XL,13.0,,1.0
1116,CORAL,8XL,28.0,,3.0
1116,CORAL,8XL,36.0,,8.0
1116,CORAL,8XL,289.0,,1.0
1116,FUCHSIA,7XL,111.0,,4.0
1116,FUCHSIA,8XL,180.0,,3.0
1116,GOLD,3XL,295.0,,2.0
1116,GOLD,6XL,88.0,,15.0
1116,GOLD,6XL,287.0,,3.0
1116,GOLD,6XL,295.0,,3.0
1116,GOLD,7XL,287.0,,2.0
1116,GOLD,7XL,295.0,,4.0
1116,GOLD,8XL,88.0,,8.0
1116,GOLD,8XL,295.0,,3.0
1116,IVORY,S,298.0,,9.0
1116,NAVY,S,706.0,,2.0
1116,PINK,7XL,778.0,,6.0
1116,SILVER,7XL,50.0,,2.0
1116,SILVER,8XL,50.0,,1.0
1116,SILVER,S,50.0,,5.0
1116,SILVER,S,65.0,,1.0
570,APPLE RED,6XL,518.0,,19.0
570,APPLE RED,7XL,518.0,,17.0
570,APPLE RED,8XL,518.0,,7.0
570,BANANA,20,291.0,,1.0
570,BANANA,22,291.0,,1.0
570,BANANA,3XL,226.0,,1.0
570,BANANA,4XL,140.0,,1.0
570,BANANA,4XL,297.0,,1.0
570,BANANA,5XL,158.0,,1.0
570,BANANA,5XL,297.0,,6.0
570,BANANA,5XL,301.0,,1.0
570,BANANA,6XL,448.0,,18.0
570,BANANA,6XL,449.0,,4.0
570,BANANA,7XL,448.0,,37.0
570,BANANA,8XL,297.0,,1.0
570,BANANA,8XL,449.0,,29.0
570,BANANA YELLOW,3XL,11.0,MILANO,1.0
570,BANANA YELLOW,3XL,22.0,MILANO,1.0
570,BANANA YELLOW,3XL,24.0,MILANO,4.0
570,BANANA YELLOW,4XL,11.0,MILANO,2.0
570,BANANA YELLOW,4XL,22.0,MILANO,13.0
570,BANANA YELLOW,4XL,24.0,MILANO,1.0
570,BANANA YELLOW,5XL,11.0,MILANO,7.0
570,BANANA YELLOW,5XL,22.0,MILANO,45.0
570,BANANA YELLOW,7XL,24.0,MILANO,1.0
570,BANANA YELLOW,8XL,22.0,MILANO,4.0
570,BLACK,2,43.0,MILANO,1.0
570,BLACK,7XL,2.0,MILANO,1.0
570,BLACK,7XL,297.0,,4.0
570,BLACK,7XL,461.0,,1.0
570,BLACK,7XL,544.0,,1.0
570,BLACK,8XL,2.0,MILANO,1.0
570,BLACK,8XL,297.0,,2.0
570,BURGUNDY,5XL,196.0,,1.0
570,BURGUNDY,5XL,219.0,,1.0
570,BURGUNDY,5XL,311.0,,3.0
570,BURGUNDY,6XL,196.0,,9.0
570,BURGUNDY,6XL,219.0,,2.0
570,BURGUNDY,6XL,311.0,,5.0
570,BURGUNDY,6XL,313.0,,30.0
570,BURGUNDY,7XL,196.0,,16.0
570,BURGUNDY,7XL,218.0,,1.0
570,BURGUNDY,7XL,219.0,,6.0
570,BURGUNDY,7XL,313.0,,4.0
570,BURGUNDY,7XL,326.0,,7.0
570,BURGUNDY,8XL,196.0,,13.0
570,BURGUNDY,8XL,219.0,,5.0
570,BURGUNDY,8XL,326.0,,8.0
570,CHAMPAGNE,4XL,680.0,,3.0
570,CHAMPAGNE,4XL,705.0,,2.0
570,CHAMPAGNE,5XL,681.0,,10.0
570,CHAMPAGNE,6XL,664.0,,3.0
570,CHAMPAGNE,6XL,681.0,,16.0
570,CHAMPAGNE,7XL,680.0,,29.0
570,CHAMPAGNE,7XL,705.0,,7.0
570,CHAMPAGNE,8XL,62.0,,1.0
570,CHAMPAGNE,8XL,295.0,,1.0
570,CHAMPAGNE,8XL,680.0,,26.0
570,CHAMPAGNE,8XL,705.0,,4.0
570,CHAMPAGNE,XL,287.0,,1.0
570,CORAL,4XL,48.0,,1.0
570,CORAL,5XL,1.0,MILANO,13.0
570,CORAL,5XL,48.0,,1.0
570,CORAL,5XL,394.0,,1.0
570,CORAL,6XL,1.0,MILANO,25.0
570,CORAL,6XL,48.0,,3.0
570,CORAL,6XL,173.0,,1.0
570,CORAL,6XL,394.0,,9.0
570,CORAL,7XL,1.0,MILANO,11.0
570,CORAL,7XL,11.0,MILANO,1.0
570,CORAL,7XL,48.0,,3.0
570,CORAL,7XL,394.0,,8.0
570,CORAL,8XL,1.0,MILANO,12.0
570,CORAL,8XL,48.0,,1.0
570,CORAL,8XL,204.0,,1.0
570,CORAL,8XL,291.0,,1.0
570,CORAL,8XL,394.0,,6.0
570,CORAL,8XL,550.0,,1.0
570,DARK GREEN,12,178.0,,1.0
570,DARK GREEN,16,178.0,,1.0
570,FUCHSIA,5XL,34.0,MILANO,14.0
570,FUCHSIA,5XL,146.0,,5.0
570,FUCHSIA,6XL,19.0,MILANO,18.0
570,FUCHSIA,6XL,34.0,MILANO,10.0
570,FUCHSIA,6XL,146.0,,14.0
570,FUCHSIA,6XL,531.0,,1.0
570,FUCHSIA,7XL,19.0,MILANO,10.0
570,FUCHSIA,7XL,34.0,MILANO,19.0
570,FUCHSIA,7XL,146.0,,12.0
570,FUCHSIA,7XL,149.0,,3.0
570,FUCHSIA,7XL,173.0,,1.0
570,FUCHSIA,7XL,561.0,,1.0
570,FUCHSIA,8XL,19.0,MILANO,1.0
570,FUCHSIA,8XL,34.0,MILANO,9.0
570,FUCHSIA,8XL,146.0,,31.0
570,FUCHSIA,8XL,362.0,,1.0
570,FUCHSIA,8XL,622.0,,1.0
570,FUCHSIA,S,19.0,MILANO,6.0
570,GREEN,14,398.0,,1.0
570,GREEN,16,398.0,,1.0
570,IVORY,5XL,48.0,,9.0
570,IVORY,5XL,391.0,,1.0
570,IVORY,6XL,48.0,,3.0
570,IVORY,6XL,519.0,,1.0
570,IVORY,8XL,391.0,,1.0
570,LAVENDER,3XL,219.0,,1.0
570,LAVENDER,3XL,287.0,,2.0
570,LAVENDER,4XL,8.0,MILANO,1.0
570,LAVENDER,4XL,219.0,,1.0
570,LAVENDER,4XL,287.0,,4.0
570,LAVENDER,5XL,8.0,MILANO,6.0
570,LAVENDER,5XL,173.0,,1.0
570,LAVENDER,5XL,219.0,,1.0
570,LAVENDER,5XL,287.0,,7.0
570,LAVENDER,6XL,8.0,MILANO,5.0
570,LAVENDER,6XL,96.0,,12.0
570,LAVENDER,6XL,126.0,,1.0
570,LAVENDER,6XL,219.0,,1.0
570,LAVENDER,6XL,287.0,,8.0
570,LAVENDER,6XL,295.0,,1.0
570,LAVENDER,7XL,8.0,MILANO,1.0
570,LAVENDER,7XL,96.0,,16.0
570,LAVENDER,7XL,126.0,,9.0
570,LAVENDER,8XL,96.0,,12.0
570,LAVENDER,8XL,126.0,,18.0
570,LAVENDER,L,219.0,,1.0
570,LAVENDER,L,287.0,,1.0
570,LAVENDER,M,219.0,,1.0
570,LAVENDER,S,219.0,,1.0
570,LAVENDER,XL,287.0,,1.0
570,LILAC,2,154.0,,1.0
570,LILAC,26,154.0,,1.0
570,LILAC,3XL,508.0,,3.0
570,LILAC,3XL,814.0,,6.0
570,LILAC,4XL,603.0,,1.0
570,LILAC,4XL,814.0,,1.0
570,LILAC,5XL,814.0,,10.0
570,LILAC,6XL,3.0,MILANO,3.0
570,LILAC,6XL,8.0,MILANO,35.0
570,LILAC,6XL,17.0,MILANO,1.0
570,LILAC,6XL,48.0,,3.0
570,LILAC,6XL,58.0,,32.0
570,LILAC,6XL,328.0,,1.0
570,LILAC,6XL,531.0,,1.0
570,LILAC,6XL,814.0,,12.0
570,LILAC,7XL,3.0,MILANO,2.0
570,LILAC,7XL,8.0,MILANO,2.0
570,LILAC,7XL,10.0,MILANO,24.0
570,LILAC,7XL,17.0,MILANO,3.0
570,LILAC,7XL,48.0,,2.0
570,LILAC,7XL,297.0,,1.0
570,LILAC,7XL,325.0,,6.0
570,LILAC,7XL,328.0,,19.0
570,LILAC,8,154.0,,1.0
570,LILAC,8XL,3.0,MILANO,22.0
570,LILAC,8XL,8.0,MILANO,1.0
570,LILAC,8XL,17.0,MILANO,5.0
570,LILAC,8XL,58.0,,5.0
570,LILAC,8XL,325.0,,1.0
570,LILAC,8XL,328.0,,17.0
570,LILAC,8XL,814.0,,10.0
570,LILAC,L,3.0,MILANO,1.0
570,LILAC,L,65.0,,17.0
570,LILAC,M,814.0,,1.0
570,LILAC,S,3.0,MILANO,1.0
570,LILAC,S,65.0,,19.0
570,LILAC,S,148.0,,1.0
570,LILAC,S,508.0,,2.0
570,LILAC,S,814.0,,2.0
570,LILAC,XL,508.0,,1.0
570,MINT,14,180.0,,2.0
570,NAVY,2,64.0,,2.0
570,NAVY,2XL,2.0,MILANO,3.0
570,NAVY,2XL,5.0,MILANO,4.0
570,NAVY,2XL,288.0,,1.0
570,NAVY,3XL,288.0,,1.0
570,NAVY,4XL,5.0,MILANO,1.0
570,NAVY,5,64.0,,1.0
570,NAVY,5XL,2.0,MILANO,4.0
570,NAVY,5XL,5.0,MILANO,7.0
570,NAVY,5XL,24.0,MILANO,3.0
570,NAVY,6,64.0,,1.0
570,NAVY,6XL,2.0,MILANO,6.0
570,NAVY,6XL,5.0,MILANO,26.0
570,NAVY,6XL,362.0,,1.0
570,NAVY,7XL,2.0,MILANO,2.0
570,NAVY,7XL,5.0,MILANO,6.0
570,NAVY,7XL,24.0,MILANO,1.0
570,NAVY,8XL,2.0,MILANO,1.0
570,NAVY,8XL,5.0,MILANO,6.0
570,NAVY,8XL,23.0,MILANO,1.0
570,NAVY,8XL,65.0,,1.0
570,NAVY,8XL,338.0,,1.0
570,NAVY,L,288.0,,3.0
570,NAVY,M,2.0,MILANO,14.0
570,NAVY,M,5.0,MILANO,1.0
570,NAVY,M,29.0,MILANO,1.0
570,NAVY,M,288.0,,2.0
570,NAVY,M,318.0,,4.0
570,NAVY,M,664.0,,1.0
570,NAVY,S,2.0,MILANO,7.0
570,NAVY,S,5.0,MILANO,1.0
570,NAVY,S,288.0,,2.0
570,NAVY,S,318.0,,2.0
570,NAVY,XL,288.0,,1.0
570,PEACH,2,291.0,,1.0
570,PEACH,4XL,128.0,,3.0
570,PEACH,5XL,27.0,MILANO,10.0
570,PEACH,5XL,65.0,,1.0
570,PEACH,5XL,128.0,,2.0
570,PEACH,6XL,27.0,MILANO,7.0
570,PEACH,6XL,128.0,,2.0
570,PEACH,7XL,27.0,MILANO,14.0
570,PEACH,7XL,128.0,,8.0
570,PEACH,8XL,27.0,MILANO,10.0
570,PEACH,8XL,128.0,,9.0
570,PEACH,M,27.0,MILANO,3.0
570,PEACH,M,65.0,,1.0
570,PEACH,M,128.0,,5.0
570,PEACH,M,218.0,,5.0
570,PEACH,S,27.0,MILANO,3.0
570,PEACH,S,128.0,,4.0
570,PERIWINKLE,5XL,532.0,,1.0
570,PERIWINKLE,6XL,532.0,,15.0
570,PERIWINKLE,7XL,532.0,,14.0
570,PERIWINKLE,8XL,532.0,,12.0
570,PERIWINKLE,M,23.0,MILANO,1.0
570,PERRI,22,171.0,,1.0
570,PERRI,2XL,30.0,MILANO,1.0
570,PERRI,3XL,30.0,MILANO,1.0
570,PERRI,4XL,30.0,MILANO,6.0
570,PERRI,4XL,48.0,,5.0
570,PERRI,5XL,30.0,MILANO,23.0
570,PERRI,5XL,171.0,,1.0
570,PERRI,6XL,530.0,,18.0
570,PERRI,6XL,616.0,,16.0
570,PERRI,6XL,815.0,,11.0
570,PERRI,7XL,530.0,,7.0
570,PERRI,7XL,616.0,,9.0
570,PERRI,7XL,815.0,,10.0
570,PERRI,8XL,530.0,,5.0
570,PERRI,8XL,616.0,,4.0
570,PERRI,8XL,815.0,,10.0
570,PERRI,L,17.0,MILANO,2.0
570,PERRI,L,30.0,MILANO,5.0
570,PERRI,L,48.0,,6.0
570,PERRI,M,30.0,MILANO,3.0
570,PERRI,M,48.0,,3.0
570,PERRI,S,17.0,MILANO,3.0
570,PERRI,S,30.0,MILANO,14.0
570,PERRI,S,48.0,,4.0
570,PERRI,S,171.0,,1.0
570,PERRI,XL,30.0,MILANO,2.0
570,PERRI,XL,48.0,,1.0
570,PINK,12,297.0,,2.0
570,PINK,14,181.0,,1.0
570,PINK,20,297.0,,1.0
570,PINK,26,297.0,,2.0
570,PINK,3XL,13.0,MILANO,4.0
570,PINK,3XL,49.0,,11.0
570,PINK,3XL,297.0,,0.0
570,PINK,4XL,13.0,MILANO,1.0
570,PINK,4XL,49.0,,1.0
570,PINK,5XL,17.0,MILANO,1.0
570,PINK,5XL,37.0,MILANO,19.0
570,PINK,5XL,49.0,,12.0
570,PINK,5XL,297.0,,1.0
570,PINK,5XL,362.0,,2.0
570,PINK,6XL,11.0,MILANO,1.0
570,PINK,6XL,13.0,MILANO,2.0
570,PINK,6XL,17.0,MILANO,5.0
570,PINK,6XL,37.0,MILANO,7.0
570,PINK,6XL,49.0,,16.0
570,PINK,6XL,112.0,,5.0
570,PINK,6XL,226.0,,1.0
570,PINK,6XL,297.0,,13.0
570,PINK,6XL,362.0,,5.0
570,PINK,7XL,11.0,MILANO,1.0
570,PINK,7XL,13.0,MILANO,2.0
570,PINK,7XL,17.0,MILANO,3.0
570,PINK,7XL,37.0,MILANO,3.0
570,PINK,7XL,49.0,,10.0
570,PINK,7XL,112.0,,3.0
570,PINK,7XL,297.0,,6.0
570,PINK,8XL,13.0,MILANO,2.0
570,PINK,8XL,17.0,MILANO,2.0
570,PINK,8XL,37.0,MILANO,3.0
570,PINK,8XL,49.0,,4.0
570,PINK,8XL,112.0,,7.0
570,PINK,8XL,297.0,,10.0
570,PINK,L,297.0,,1.0
570,PURPLE,0,52.0,,1.0
570,RED,5XL,419.0,,4.0
570,RED,5XL,514.0,,41.0
570,RED,5XL,659.0,,2.0
570,RED,6XL,419.0,,5.0
570,RED,6XL,463.0,,2.0
570,RED,6XL,513.0,,61.0
570,RED,6XL,514.0,,1.0
570,RED,6XL,616.0,,2.0
570,RED,7XL,616.0,,8.0
570,RED,8XL,513.0,,1.0
570,ROYAL,2,64.0,,1.0
570,ROYAL,22,64.0,,1.0
570,ROYAL,26,64.0,,1.0
570,ROYAL,6,64.0,,1.0
570,ROYAL,6XL,64.0,,5.0
570,ROYAL,6XL,166.0,,9.0
570,ROYAL,6XL,269.0,,1.0
570,ROYAL,6XL,325.0,,8.0
570,ROYAL,7XL,166.0,,13.0
570,ROYAL,7XL,226.0,,1.0
570,ROYAL,7XL,325.0,,2.0
570,ROYAL,8XL,64.0,,2.0
570,ROYAL,8XL,166.0,,9.0
570,ROYAL,8XL,226.0,,1.0
570,ROYAL,8XL,325.0,,15.0
570,ROYAL,XL,64.0,,1.0
570,ROYAL,XL,325.0,,2.0
570,ROYAL BLUE,6XL,11.0,MILANO,3.0
570,ROYAL BLUE,6XL,43.0,MILANO,1.0
570,ROYAL BLUE,6XL,106.0,,1.0
570,ROYAL BLUE,8XL,11.0,MILANO,1.0
570,ROYAL BLUE,S,11.0,MILANO,1.0
570,ROYAL BLUE,XL,122.0,,1.0
570,SAGE,0,193.0,,3.0
570,SAGE,14,193.0,,1.0
570,SAGE,16,193.0,,5.0
570,SAGE,4XL,821.0,,1.0
570,SAGE,5XL,628.0,,4.0
570,SAGE,5XL,761.0,,1.0
570,SAGE,5XL,821.0,,13.0
570,SAGE,6XL,628.0,,3.0
570,SAGE,6XL,821.0,,31.0
570,SAGE,7XL,628.0,,23.0
570,SAGE,7XL,821.0,,9.0
570,SAGE,8XL,628.0,,30.0
570,SAGE,S,628.0,,3.0
570,SAGE,S,821.0,,1.0
570,SILVER,2,42.0,MILANO,2.0
570,SILVER,6XL,621.0,,3.0
570,SILVER,6XL,760.0,,18.0
570,SILVER,7XL,621.0,,5.0
570,SILVER,7XL,760.0,,17.0
570,SILVER,8XL,621.0,,5.0
570,SILVER,8XL,623.0,,11.0
570,SILVER,8XL,760.0,,6.0
570,SKY BLUE,20,178.0,,1.0
570,SKY BLUE,22,178.0,,1.0
570,SKY BLUE,4XL,40.0,MILANO,3.0
570,SKY BLUE,5XL,40.0,MILANO,41.0
570,SKY BLUE,5XL,218.0,,18.0
570,SKY BLUE,6XL,40.0,MILANO,15.0
570,SKY BLUE,6XL,218.0,,10.0
570,SKY BLUE,6XL,506.0,,50.0
570,SKY BLUE,6XL,515.0,,6.0
570,SKY BLUE,7XL,507.0,,36.0
570,SKY BLUE,8XL,507.0,,14.0
570,SKY BLUE,8XL,508.0,,15.0
570,SKY BLUE,XL,508.0,,1.0
570,TRUFFLE,8XL,112.0,,15.0
570,TRUFFLE,8XL,177.0,,1.0
570,TURQUOISE,2XL,699.0,,3.0
570,TURQUOISE,3XL,688.0,,3.0
570,TURQUOISE,3XL,768.0,,1.0
570,TURQUOISE,6XL,688.0,,3.0
570,TURQUOISE,7XL,688.0,,5.0
570,TURQUOISE,8XL,699.0,,5.0
570,VICTORIA LILAC,2XL,834.0,,1.0
570,VICTORIA LILAC,3XL,834.0,,4.0
570,VICTORIA LILAC,4XL,834.0,,1.0
570,VICTORIA LILAC,5XL,834.0,,1.0
570,VICTORIA LILAC,6XL,11.0,MILANO,1.0
570,VICTORIA LILAC,6XL,834.0,,5.0
570,VICTORIA LILAC,7XL,815.0,,17.0
570,VICTORIA LILAC,7XL,834.0,,5.0
570,VICTORIA LILAC,8XL,834.0,,4.0
570,VICTORIA LILAC,S,834.0,,4.0
570,WHITE,3XL,681.0,,2.0
570,WHITE,4XL,681.0,,3.0
570,WHITE,4XL,810.0,,1.0
570,WHITE,5XL,681.0,,19.0
570,WHITE,5XL,682.0,,10.0
570,WHITE,5XL,810.0,,4.0
570,WHITE,6XL,519.0,,41.0
570,WHITE,6XL,539.0,,42.0
570,WHITE,7XL,519.0,,7.0
570,WHITE,7XL,540.0,,35.0
570,WHITE,8XL,518.0,,9.0
570,WHITE,8XL,539.0,,13.0
570,WHITE,L,681.0,,1.0
AA9270,APPLE RED,12,383.0,,1.0
AA9270,BURGUNDY,6,172.0,,2.0
AA9270,IVORY,12,579.0,,1.0
AA9270,LAVENDER,12,621.0,,5.0
AA9270,LAVENDER,14,621.0,,1.0
AA9270,LAVENDER,6,621.0,,1.0
AA9270,LAVENDER,8,621.0,,1.0
AA9270,WHITE,12,153.0,,1.0
AA9270,WHITE,18,153.0,,1.0
AA9270,WHITE,2,153.0,,1.0
AA9270,WHITE,6,226.0,,1.0
AA9270,WHITE,6,852.0,,1.0
AA9270,WHITE BURGUNDY,14,214.0,,1.0
AA9270,WHITE BURGUNDY,6,214.0,,1.0
AA9270,WHITE NAVY,12,172.0,,1.0
AA9270,WHITE NAVY,12,214.0,,1.0
AA9270,WHITE NAVY,22,172.0,,1.0
AA9270,WHITE/BURGUNDY,0,316.0,,2.0
AA9270,WHITE/BURGUNDY,12,322.0,,2.0
AA9270,WHITE/BURGUNDY,14,268.0,,1.0
AA9270,WHITE/BURGUNDY,18,316.0,,2.0
AA9270,WHITE/BURGUNDY,6,142.0,,1.0
AA9270,WHITE/BURGUNDY,8,316.0,,1.0
AA9270,WHITE/IVORY,12,153.0,,1.0
AA9270,WHITE/IVORY,16,153.0,,2.0
AA9270,WHITE/IVORY,24,153.0,,2.0
AA9270,WHITE/IVORY,6,153.0,,1.0
AA9270,WHITE/IVORY,8,153.0,,1.0
AA9270,WHITE/NAVY,10,316.0,,2.0
AA9270,WHITE/NAVY,10,630.0,,5.0
AA9270,WHITE/NAVY,12,142.0,,1.0
AA9270,WHITE/NAVY,12,322.0,,2.0
AA9270,WHITE/NAVY,14,142.0,,1.0
AA9270,WHITE/NAVY,16,316.0,,4.0
AA9270,WHITE/NAVY,22,316.0,,1.0
AA9270,WHITE/NAVY,24,227.0,,1.0
AA9270,WHITE/NAVY,24,793.0,,2.0
AA9270,WHITE/NAVY,26,793.0,,1.0
AA9270,WHITE/NAVY,6,142.0,,1.0
AA9270,WHITE/NAVY,6,630.0,,3.0
AA9270,WHITE/NAVY,8,316.0,,3.0
AA9270,WHITE/NAVY,8,630.0,,4.0
AA9270,WHITE/NAVY,9,266.0,,1.0
AA9270,WHITE/RED,6,316.0,,6.0
B8486,BLACK,16,42.0,,1.0
B8486,BLACK/FUCHSIA,2XL,669.0,,2.0
B8486,BLACK/FUCHSIA,L,108.0,,5.0
B8486,BLACK/FUCHSIA,L,824.0,,1.0
B8486,BLACK/FUCHSIA,L,853.0,,1.0
B8486,BLACK/FUCHSIA,M,108.0,,6.0
B8486,BLACK/FUCHSIA,M,562.0,,2.0
